 Nº_boletim;data_hora_boletim;  seq_veic; cod_categ; descricao_categoria; cod_especie;  descricao_especie; cod_situacao; desc_situacao; tipo_socorro; desc_tipo_socorro
2021-035060634-001;21/07/2021 01:30;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035063443-001;21/07/2021 19:45;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2021-035063443-001;21/07/2021 19:45;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2021-035067742-001;21/07/2021 20:07;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035074772-001;21/07/2021 20:28;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-035074772-001;21/07/2021 20:28;2;3;PARTICULAR                    ;3;MOTONETA                      ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2021-035080193-001;21/07/2021 18:06;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2021-035080193-001;21/07/2021 18:06;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;6;NÃO SE APLICA       
2021-035081943-001;21/07/2021 21:31;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;1;VEICULO ENVOLVIDO   
2021-035081943-001;21/07/2021 21:31;2;3;PARTICULAR                    ;26;CAMINHONETE                   ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-038338074-001;10/08/2021 08:17;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2021-038338466-001;10/08/2021 07:37;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-038338466-001;10/08/2021 07:37;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2021-038338585-001;10/08/2021 07:50;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2021-038338585-001;10/08/2021 07:50;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-038341799-001;10/08/2021 09:08;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-038341799-001;10/08/2021 09:08;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2021-038341996-001;10/08/2021 08:42;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2021-038341996-001;10/08/2021 08:42;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2021-038350696-001;10/08/2021 07:47;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
